Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
PA4274	1464.6566	982.2745	1445.5468	1021.2281	1111.6526	1695.8821	1404.0927	966.4359	1391.7755	1106.0096	1141.5629	765.24756
PA4275	3597.0916	2695.8074	4185.0874	1996.3884	2852.8	3906.7722	4820.6587	3559.0457	4968.8403	3974.1375	5404.7925	3356.987
PA4276	6521.86	5554.8984	7246.0396	2911.7788	4579.317	7752.0156	2858.4717	2710.5742	3055.4495	2504.542	3104.0317	2880.2341
PA4277	1964.2332	1462.0668	2590.2935	1437.049	1595.5667	2200.9348	2148.6401	1675.9121	2537.7766	1666.8442	1768.0974	1681.2632
PA4278	3261.4604	2838.266	4862.51	3410.9146	3115.6702	4747.6924	381.3492	274.6849	334.57742	266.41833	277.98914	300.70334
PA4279	340.00922	272.536	615.6266	312.30334	321.15915	411.80356	217.38861	176.40196	213.16481	193.9993	225.89055	216.63759
PA4280	345.98596	249.12384	515.341	212.76506	251.23286	312.69412	290.64886	258.81952	319.22592	212.47252	269.04007	325.53427
PA4281	159.78912	130.65846	229.30458	130.27658	134.02191	234.57129	193.186	171.00928	417.03375	137.62224	151.47829	204.09975
PA4282	1098.3165	779.4628	1369.7985	913.7907	982.96936	1204.5739	270.94067	182.43846	249.46838	263.72806	260.4891	265.1301
PA4283	567.16095	423.39304	657.113	428.53787	525.5108	505.60938	56.78124	37.163933	42.847206	79.41762	49.668003	58.10573
PA4284	1690.679	1190.8494	1784.294	1313.8093	1555.4337	1615.1713	374.0376	230.89781	275.36633	461.02777	335.1088	342.12088
PA4285	1003.23145	610.65485	997.09735	689.3276	767.8233	957.6632	252.83864	162.95023	190.2637	272.46448	215.48029	234.05585
PA4286	256.4102	142.33446	241.66298	139.38132	176.42998	246.37856	190.54393	108.53186	139.09697	192.51079	141.21971	156.84589
PA4287	31.475546	23.349659	48.551846	20.354391	28.924202	25.577229	38.527782	18.771677	37.628788	41.475407	39.896755	38.675323
PA4288	69.53794	65.64231	81.96891	57.717155	57.875305	80.534256	124.442245	92.22027	349.23996	111.75653	70.012085	114.976746
PA4289	91.37063	65.701195	107.384415	96.394135	87.40418	89.13716	54.579304	36.875065	50.65363	68.11237	38.002953	34.376854
PA4290	540.2561	362.77676	635.152	553.7086	685.61194	460.0016	164.59972	94.94992	144.54668	167.23917	104.05541	149.68558
PA4291	192.86797	187.88895	291.1649	143.53459	164.71777	347.5468	294.61115	195.34647	420.91873	262.47366	291.92133	198.86574
PA4292	694.2192	502.47754	885.3767	511.64752	569.4882	663.5697	224.24608	189.44872	225.37808	285.91983	253.85555	280.82724
PA4293	2773.7366	1872.1688	3682.1326	2427.8699	2837.4683	2208.1475	191.03616	169.24901	111.22708	256.19098	205.83946	217.90201
PA4294	2322.6924	1735.2408	2838.6792	2613.4783	2763.7024	2579.5151	307.8209	230.58908	182.49713	327.8093	350.85193	312.70718
PA4295	333.33624	226.06569	538.82983	311.43088	312.1357	394.39267	223.27582	174.53265	200.70964	188.47534	200.50502	209.34338
PA4296	2369.6716	1738.779	3026.603	2024.2411	2258.317	2317.0713	1700.1783	1197.7201	1317.9111	1678.8368	1660.7227	1505.5692
PA4297	2061.1055	1522.191	2861.4114	1659.4105	1989.2035	2014.8112	497.68005	401.9654	429.6351	552.87756	514.55884	523.4567
